date,store,item,sales
2019/9/16,1,1,0.116507108
2019/9/17,1,1,0.1155156
2019/9/18,1,1,0.115001608
2019/9/19,1,1,0.116424206
2019/9/20,1,1,0.115134251
2019/9/21,1,1,0.112154755
2019/9/22,1,1,0.112794758
2019/9/23,1,1,0.107333176
2019/9/24,1,1,0.087630695
2019/9/25,1,1,0.086279393
2019/9/26,1,1,0.08016786
2019/9/27,1,1,0.082175746
2019/9/28,1,1,0.082567043
2019/9/29,1,1,0.079924128
2019/9/30,1,1,0.083823837
2019/10/1,1,1,0.084128916
2019/10/2,1,1,0.085146952
2019/10/3,1,1,0.082872122
2019/10/4,1,1,0.081565587
2019/10/5,1,1,0.081220715
2019/10/6,1,1,0.077151886
2019/10/7,1,1,0.082402897
2019/10/8,1,1,0.082142585
2019/10/9,1,1,0.08850614
2019/10/10,1,1,0.088433186
2019/10/11,1,1,0.08355026
2019/10/12,1,1,0.084157103
2019/10/13,1,1,0.083777412
2019/10/14,1,1,0.084967884
2019/10/15,1,1,0.081882273
2019/10/16,1,1,0.079116663
2019/10/17,1,1,0.080325374
2019/10/18,1,1,0.078256141
2019/10/19,1,1,0.078402048
2019/10/20,1,1,0.082814091
2019/10/21,1,1,0.082562069
2019/10/22,1,1,0.079630655
2019/10/23,1,1,0.070438485
2019/10/24,1,1,0.06953817
2019/10/25,1,1,0.090024904
2019/10/26,1,1,0.099513863
2019/10/27,1,1,0.1044714
2019/10/28,1,1,0.099125882
2019/10/29,1,1,0.10250994
2019/10/30,1,1,0.098308468
2019/10/31,1,1,0.098220592
2019/11/1,1,1,0.099505573
2019/11/2,1,1,0.10067449
2019/11/3,1,1,0.098978316
2019/11/4,1,1,0.102262892
2019/11/5,1,1,0.10084361
2019/11/6,1,1,0.101309519
2019/11/7,1,1,0.099396142
2019/11/8,1,1,0.092012893
2019/11/9,1,1,0.092448957
2019/11/10,1,1,0.096300583
2019/11/11,1,1,0.091328123
2019/11/12,1,1,0.092583258
2019/11/13,1,1,0.092094137
2019/11/14,1,1,0.090072987
2019/11/15,1,1,0.087007272
2019/11/16,1,1,0.08735546
2019/11/17,1,1,0.087562715
2019/11/18,1,1,0.082565385
2019/11/19,1,1,0.081525794
2019/11/20,1,1,0.080756464
2019/11/21,1,1,0.072940466
2019/11/22,1,1,0.067047795
2019/11/23,1,1,0.067903343
2019/11/24,1,1,0.061281134
2019/11/25,1,1,0.064446331
2019/11/26,1,1,0.065228925
2019/11/27,1,1,0.070995586
2019/11/28,1,1,0.069604491
2019/11/29,1,1,0.074843896
2019/11/30,1,1,0.07159248
2019/12/1,1,1,0.069102105
2019/12/2,1,1,0.067473911
2019/12/3,1,1,0.067367796
2019/12/4,1,1,0.06591867
2019/12/5,1,1,0.06914853
2019/12/6,1,1,0.07133051
2019/12/7,1,1,0.07100056
2019/12/8,1,1,0.071224396
2019/12/9,1,1,0.068428941
2019/12/10,1,1,0.066437636
2019/12/11,1,1,0.065978359
2019/12/12,1,1,0.065978359
2019/12/13,1,1,0.066760954
2019/12/14,1,1,0.063869333
2019/12/15,1,1,0.064660218
2019/12/16,1,1,0.060929629
2019/12/17,1,1,0.056117999
2019/12/18,1,1,0.067105826
2019/12/19,1,1,0.065273693
2019/12/20,1,1,0.065786027
2019/12/21,1,1,0.065119495
2019/12/22,1,1,0.070750196
2019/12/23,1,1,0.067881788
2019/12/24,1,1,0.066978157
2019/12/25,1,1,0.06625691
2019/12/26,1,1,0.066026442
2019/12/27,1,1,0.066868726
2019/12/28,1,1,0.067860234
2019/12/29,1,1,0.069120344
2019/12/30,1,1,0.066870384
2019/12/31,1,1,0.065786027
2020/1/1,1,1,0.0658424
2020/1/2,1,1,0.061982484
2020/1/3,1,1,0.06821837
2020/1/4,1,1,0.06877713
2020/1/5,1,1,0.068705834
2020/1/6,1,1,0.075115814
2020/1/7,1,1,0.081691598
2020/1/8,1,1,0.080098222
2020/1/9,1,1,0.076496961
2020/1/10,1,1,0.082212222
2020/1/11,1,1,0.079509618
2020/1/12,1,1,0.082220513
2020/1/13,1,1,0.080957087
2020/1/14,1,1,0.092858493
2020/1/15,1,1,0.092677767
2020/1/16,1,1,0.091162319
2020/1/17,1,1,0.094249588
2020/1/18,1,1,0.094302645
2020/1/19,1,1,0.090819105
2020/1/20,1,1,0.089752985
2020/1/21,1,1,0.091256827
2020/1/22,1,1,0.090359828
2020/1/23,1,1,0.085826748
2020/1/24,1,1,0.086403746
2020/1/25,1,1,0.084773893
2020/1/26,1,1,0.089187594
2020/1/27,1,1,0.0934786
2020/1/28,1,1,0.101946207
2020/1/29,1,1,0.100646304
2020/1/30,1,1,0.104101658
2020/1/31,1,1,0.101478639
2020/2/1,1,1,0.102017502
2020/2/2,1,1,0.101243198
2020/2/3,1,1,0.100608169
2020/2/4,1,1,0.098905362
2020/2/5,1,1,0.105834309
2020/2/6,1,1,0.108490488
2020/2/7,1,1,0.109263134
2020/2/8,1,1,0.110538166
2020/2/9,1,1,0.114782747
2020/2/10,1,1,0.109851738
2020/2/11,1,1,0.116076018
2020/2/12,1,1,0.117538408
2020/2/13,1,1,0.116168868
2020/2/14,1,1,0.117792088
2020/2/15,1,1,0.110740447
2020/2/16,1,1,0.111148325
2020/2/17,1,1,0.107319912
2020/2/18,1,1,0.114897152
2020/2/19,1,1,0.105794516
2020/2/20,1,1,0.105678453
2020/2/21,1,1,0.107039703
2020/2/22,1,1,0.106562188
2020/2/23,1,1,0.111320761
2020/2/24,1,1,0.106678251
2020/2/25,1,1,0.100949725
2020/2/26,1,1,0.09237932
2020/2/27,1,1,0.092682741
2020/2/28,1,1,0.090674855
2020/2/29,1,1,0.088124791
2020/3/1,1,1,0.088063443
2020/3/2,1,1,0.094111971
